graph,algo,mode,access,activation,backend,platform,time_s,iterations,unreachable,edges,rss_MB,cpu_pct,avg_watt
datasets/ca-GrQc.edgelist,pagerank,async,push,data,cpu,Jetson,2.44788,27525.0,,279266.0,187.3,95.2,2.11
datasets/ca-GrQc.edgelist,pagerank,async,pull,topo,cpu,Jetson,2.449582,27525.0,,279266.0,187.3,99.8,2.13
datasets/ca-GrQc.edgelist,pagerank,async,pull,data,cpu,Jetson,2.412346,27525.0,,279266.0,187.3,98.0,2.13
datasets/email-Eu-core.edgelist,bfs,sync,push,topo,cpu,Jetson,0.308063,5.0,,25516.0,187.8,85.8,0.96
datasets/email-Eu-core.edgelist,bfs,sync,push,data,cpu,Jetson,0.302936,5.0,,25516.0,187.8,88.8,0.96
datasets/email-Eu-core.edgelist,bfs,sync,pull,topo,cpu,Jetson,0.062014,0.6,,0.0,187.8,87.3,0.96
datasets/email-Eu-core.edgelist,bfs,sync,pull,data,cpu,Jetson,0.061241,0.6,,0.0,187.8,100.1,0.96
datasets/email-Eu-core.edgelist,bfs,async,push,topo,cpu,Jetson,0.350838,965.0,,25516.0,187.8,88.5,1.01
datasets/email-Eu-core.edgelist,bfs,async,push,data,cpu,Jetson,0.35446,965.0,,25516.0,187.8,92.1,1.05
datasets/email-Eu-core.edgelist,bfs,async,pull,topo,cpu,Jetson,0.080229,0.5,,205.25,187.8,96.6,1.09
datasets/email-Eu-core.edgelist,bfs,async,pull,data,cpu,Jetson,0.076242,0.5,,205.25,187.8,113.8,1.05
datasets/email-Eu-core.edgelist,sssp,sync,push,topo,cpu,Jetson,0.805889,5.0,40.0,25516.0,187.8,90.2,1.56
datasets/email-Eu-core.edgelist,sssp,sync,push,data,cpu,Jetson,0.821499,5.0,40.0,25516.0,187.8,93.6,1.63
datasets/email-Eu-core.edgelist,sssp,sync,pull,topo,cpu,Jetson,0.088148,0.5,45.75,205.25,187.8,112.5,1.25
datasets/email-Eu-core.edgelist,sssp,sync,pull,data,cpu,Jetson,0.090579,0.5,45.75,205.25,187.8,97.9,1.01
datasets/email-Eu-core.edgelist,sssp,async,push,topo,cpu,Jetson,0.833106,965.0,40.0,25516.0,187.8,94.2,1.56
datasets/email-Eu-core.edgelist,sssp,async,push,data,cpu,Jetson,0.849677,965.0,40.0,25516.0,187.8,95.0,1.69
datasets/email-Eu-core.edgelist,sssp,async,pull,topo,cpu,Jetson,0.080899,0.5,45.75,205.25,187.8,82.1,0.96
datasets/email-Eu-core.edgelist,sssp,async,pull,data,cpu,Jetson,0.077077,0.5,45.75,205.25,187.8,79.0,0.92
datasets/email-Eu-core.edgelist,pagerank,sync,pull,topo,cpu,Jetson,19.514341,20.0,,511420.0,187.8,97.5,2.28
datasets/email-Eu-core.edgelist,pagerank,sync,pull,data,cpu,Jetson,19.508112,20.0,,511420.0,187.8,97.4,2.31
datasets/email-Eu-core.edgelist,pagerank,async,push,topo,cpu,Jetson,6.130971,23688.0,,1158643.0,187.8,99.5,2.33
datasets/email-Eu-core.edgelist,pagerank,async,push,data,cpu,Jetson,6.12133,23688.0,,1158643.0,187.8,102.0,2.31
datasets/email-Eu-core.edgelist,pagerank,async,pull,topo,cpu,Jetson,6.167788,23688.0,,1158643.0,187.8,99.2,2.36
datasets/email-Eu-core.edgelist,pagerank,async,pull,data,cpu,Jetson,6.103905,23688.0,,1158643.0,187.8,99.7,2.35
datasets/roadNet-PA.edgelist,bfs,sync,push,topo,cpu,Jetson,56.827487,593.0,,3083028.0,249.1,101.0,2.29
datasets/roadNet-PA.edgelist,bfs,sync,push,data,cpu,Jetson,56.4306,593.0,,3083028.0,249.1,101.0,2.29
datasets/roadNet-PA.edgelist,bfs,sync,pull,topo,cpu,Jetson,,,,,249.1,,
datasets/roadNet-PA.edgelist,bfs,sync,pull,data,cpu,Jetson,,,,,249.2,,
datasets/roadNet-PA.edgelist,bfs,async,push,topo,cpu,Jetson,94.842045,1087562.0,,3083028.0,249.2,100.1,2.27
datasets/roadNet-PA.edgelist,bfs,async,push,data,cpu,Jetson,94.71008,1087562.0,,3083028.0,249.2,99.9,2.28
datasets/roadNet-PA.edgelist,bfs,async,pull,topo,cpu,Jetson,,,,,249.2,,
datasets/roadNet-PA.edgelist,bfs,async,pull,data,cpu,Jetson,,,,,249.2,,
datasets/roadNet-PA.edgelist,sssp,sync,push,topo,cpu,Jetson,131.220596,593.0,530.0,3083028.0,249.2,100.9,2.28
