graph,algo,mode,access,activation,backend,platform,time_s,iterations,unreachable,edges,rss_MB,cpu_pct,avg_watt
datasets/roadNet-PA.edgelist,bfs,async,pull,topo,cpu,Jetson,13.250319,542,,3083028,1981.3,9.8,2.28
datasets/roadNet-PA.edgelist,bfs,async,pull,data,cpu,Jetson,14.594169,541,530,3083028,1981.0,0.0,2.34
datasets/roadNet-PA.edgelist,sssp,sync,push,topo,cpu,Jetson,9.167605,0,,3083028,1980.0,9.9,2.34
datasets/roadNet-PA.edgelist,sssp,sync,push,data,cpu,Jetson,9.247528,0,,3083028,1979.7,0.0,2.31
datasets/roadNet-PA.edgelist,sssp,sync,pull,topo,cpu,Jetson,9.214511,0,,3083028,1980.0,9.9,2.33
datasets/roadNet-PA.edgelist,sssp,sync,pull,data,cpu,Jetson,9.556002,0,,3083028,1980.0,0.0,2.36
datasets/roadNet-PA.edgelist,sssp,async,push,topo,cpu,Jetson,9.329547,0,,3083028,1980.3,0.0,2.33
datasets/roadNet-PA.edgelist,sssp,async,push,data,cpu,Jetson,9.216448,0,,3083028,1980.0,0.0,2.32
datasets/roadNet-PA.edgelist,sssp,async,pull,topo,cpu,Jetson,9.272076,0,,3083028,1980.3,0.0,2.34
datasets/roadNet-PA.edgelist,sssp,async,pull,data,cpu,Jetson,9.241525,0,,3083028,1980.0,9.8,2.35
datasets/roadNet-PA.edgelist,pagerank,sync,pull,topo,cpu,Jetson,1.904058,0,,0,1977.4,0.0,2.27
datasets/roadNet-PA.edgelist,pagerank,async,push,data,cpu,Jetson,1.967979,0,,0,1977.4,9.8,2.35
