graph,algo,mode,access,activation,backend,platform,time_s,iterations,unreachable,edges,rss_MB,cpu_pct,avg_watt
datasets/roadNet-PA.edgelist,sssp,sync,push,data,cpu,Jetson,,,,,249.2,,
datasets/roadNet-PA.edgelist,sssp,sync,pull,topo,cpu,Jetson,,,,,249.2,,
datasets/roadNet-PA.edgelist,sssp,sync,pull,data,cpu,Jetson,,,,,249.2,,
datasets/roadNet-PA.edgelist,sssp,async,push,topo,cpu,Jetson,,,,,249.2,,
datasets/roadNet-PA.edgelist,sssp,async,push,data,cpu,Jetson,,,,,249.2,,
datasets/roadNet-PA.edgelist,sssp,async,pull,topo,cpu,Jetson,,,,,249.2,,
datasets/roadNet-PA.edgelist,sssp,async,pull,data,cpu,Jetson,,,,,249.2,,
datasets/roadNet-PA.edgelist,pagerank,sync,pull,topo,cpu,Jetson,,,,,249.2,,
datasets/roadNet-PA.edgelist,pagerank,sync,pull,data,cpu,Jetson,,,,,249.2,,
datasets/CA-GrQc.edgelist,bfs,sync,push,topo,cpu,Jetson,0.389199,11.0,,26850.0,185.9,0.0,
datasets/CA-GrQc.edgelist,bfs,sync,push,data,cpu,Jetson,0.400121,11.0,,26850.0,185.9,0.0,
datasets/CA-GrQc.edgelist,bfs,sync,pull,topo,cpu,Jetson,0.984247,6.0,,0.0,185.9,0.0,
datasets/CA-GrQc.edgelist,bfs,sync,pull,data,cpu,Jetson,1.001699,6.0,,0.0,185.9,0.0,
datasets/CA-GrQc.edgelist,bfs,async,push,topo,cpu,Jetson,0.55212,4158.0,,26850.0,185.9,0.0,
datasets/CA-GrQc.edgelist,bfs,async,push,data,cpu,Jetson,0.560074,4158.0,,26850.0,185.9,0.0,
datasets/CA-GrQc.edgelist,bfs,async,pull,topo,cpu,Jetson,1.065904,5.0,,4157.0,185.9,0.0,
datasets/CA-GrQc.edgelist,bfs,async,pull,data,cpu,Jetson,1.068997,5.0,,4157.0,185.9,0.0,
datasets/CA-GrQc.edgelist,sssp,sync,push,topo,cpu,Jetson,0.980199,11.0,1084.0,26850.0,185.9,0.0,
datasets/CA-GrQc.edgelist,sssp,sync,push,data,cpu,Jetson,0.993226,11.0,1084.0,26850.0,185.9,0.0,
datasets/CA-GrQc.edgelist,sssp,sync,pull,topo,cpu,Jetson,1.371561,5.0,1084.0,4157.0,185.9,0.0,
datasets/CA-GrQc.edgelist,sssp,sync,pull,data,cpu,Jetson,1.398207,5.0,1084.0,4157.0,185.9,0.0,
datasets/CA-GrQc.edgelist,sssp,async,push,topo,cpu,Jetson,1.051034,4158.0,1084.0,26850.0,185.9,0.0,
datasets/CA-GrQc.edgelist,sssp,async,push,data,cpu,Jetson,1.0652,4158.0,1084.0,26850.0,185.9,0.0,
datasets/CA-GrQc.edgelist,sssp,async,pull,topo,cpu,Jetson,1.071136,5.0,1084.0,4157.0,185.9,0.0,
datasets/CA-GrQc.edgelist,sssp,async,pull,data,cpu,Jetson,1.072766,5.0,1084.0,4157.0,185.9,0.0,
datasets/CA-GrQc.edgelist,pagerank,sync,pull,topo,cpu,Jetson,145.85754,20.0,,579600.0,185.9,0.0,
datasets/CA-GrQc.edgelist,pagerank,sync,pull,data,cpu,Jetson,145.751511,20.0,,579600.0,185.9,0.0,
datasets/email-Eu-core.edgelist,bfs,sync,push,topo,cpu,Jetson,0.319772,5.0,,25516.0,186.6,0.0,
datasets/email-Eu-core.edgelist,bfs,sync,push,data,cpu,Jetson,0.322779,5.0,,25516.0,186.6,0.0,
datasets/email-Eu-core.edgelist,bfs,sync,pull,topo,cpu,Jetson,0.066184,0.6,,0.0,186.6,0.0,
datasets/email-Eu-core.edgelist,bfs,sync,pull,data,cpu,Jetson,0.064771,0.6,,0.0,186.6,0.0,
datasets/email-Eu-core.edgelist,bfs,async,push,topo,cpu,Jetson,0.371917,965.0,,25516.0,186.6,0.0,
datasets/email-Eu-core.edgelist,bfs,async,push,data,cpu,Jetson,0.364813,965.0,,25516.0,186.6,0.0,
datasets/email-Eu-core.edgelist,bfs,async,pull,topo,cpu,Jetson,0.080685,0.5,,205.25,186.6,0.0,
datasets/email-Eu-core.edgelist,bfs,async,pull,data,cpu,Jetson,0.081489,0.5,,205.25,186.6,0.0,
datasets/email-Eu-core.edgelist,sssp,sync,push,topo,cpu,Jetson,0.837471,5.0,40.0,25516.0,186.6,0.0,
datasets/email-Eu-core.edgelist,sssp,sync,push,data,cpu,Jetson,0.837937,5.0,40.0,25516.0,186.6,0.0,
datasets/email-Eu-core.edgelist,sssp,sync,pull,topo,cpu,Jetson,0.090616,0.5,45.75,205.25,186.6,0.0,
datasets/email-Eu-core.edgelist,sssp,sync,pull,data,cpu,Jetson,0.090471,0.5,45.75,205.25,186.6,0.0,
datasets/email-Eu-core.edgelist,sssp,async,push,topo,cpu,Jetson,0.875504,965.0,40.0,25516.0,186.6,0.0,
datasets/email-Eu-core.edgelist,sssp,async,push,data,cpu,Jetson,0.867099,965.0,40.0,25516.0,186.6,0.0,
datasets/email-Eu-core.edgelist,sssp,async,pull,topo,cpu,Jetson,0.080021,0.5,45.75,205.25,186.6,0.0,
datasets/email-Eu-core.edgelist,sssp,async,pull,data,cpu,Jetson,0.080704,0.5,45.75,205.25,186.6,0.0,
datasets/email-Eu-core.edgelist,pagerank,sync,pull,topo,cpu,Jetson,23.289172,20.0,,511420.0,186.6,0.0,
datasets/email-Eu-core.edgelist,pagerank,sync,pull,data,cpu,Jetson,23.362162,20.0,,511420.0,186.6,0.0,
datasets/roadNet-PA.edgelist,bfs,sync,push,topo,cpu,Jetson,58.792767,593.0,,3083028.0,247.4,0.0,
datasets/roadNet-PA.edgelist,bfs,sync,push,data,cpu,Jetson,58.331389,593.0,,3083028.0,247.4,0.0,
datasets/roadNet-PA.edgelist,bfs,sync,pull,topo,cpu,Jetson,,,,,247.4,,
datasets/roadNet-PA.edgelist,bfs,sync,pull,data,cpu,Jetson,,,,,247.4,,
datasets/roadNet-PA.edgelist,bfs,async,push,topo,cpu,Jetson,97.798361,1087562.0,,3083028.0,247.4,0.0,
datasets/roadNet-PA.edgelist,bfs,async,push,data,cpu,Jetson,97.684711,1087562.0,,3083028.0,247.4,0.0,
datasets/roadNet-PA.edgelist,bfs,async,pull,topo,cpu,Jetson,,,,,247.4,,
datasets/roadNet-PA.edgelist,bfs,async,pull,data,cpu,Jetson,,,,,247.4,,
datasets/roadNet-PA.edgelist,sssp,sync,push,topo,cpu,Jetson,134.22641,593.0,530.0,3083028.0,247.4,0.0,
datasets/roadNet-PA.edgelist,sssp,sync,push,data,cpu,Jetson,135.612256,593.0,530.0,3083028.0,247.4,0.0,
datasets/roadNet-PA.edgelist,sssp,sync,pull,topo,cpu,Jetson,,,,,247.4,,
datasets/roadNet-PA.edgelist,sssp,sync,pull,data,cpu,Jetson,,,,,247.4,,
datasets/roadNet-PA.edgelist,sssp,async,push,topo,cpu,Jetson,154.944406,1087562.0,530.0,3083028.0,247.4,0.0,
datasets/roadNet-PA.edgelist,sssp,async,push,data,cpu,Jetson,156.316221,1087562.0,530.0,3083028.0,247.4,0.0,
datasets/roadNet-PA.edgelist,sssp,async,pull,topo,cpu,Jetson,,,,,247.4,,
datasets/roadNet-PA.edgelist,sssp,async,pull,data,cpu,Jetson,,,,,247.4,,
datasets/roadNet-PA.edgelist,pagerank,sync,pull,topo,cpu,Jetson,,,,,247.4,,
datasets/roadNet-PA.edgelist,pagerank,sync,pull,data,cpu,Jetson,,,,,247.4,,
datasets/web-Google.edgelist,bfs,sync,pull,topo,cpu,Jetson,,,,,274.0,,
datasets/web-Google.edgelist,bfs,async,push,data,cpu,Jetson,141.641027,600493.0,,3874199.0,274.0,0.0,
datasets/web-Google.edgelist,sssp,sync,pull,topo,cpu,Jetson,,,,,274.0,,
datasets/web-Google.edgelist,sssp,async,push,data,cpu,Jetson,,,,,274.0,,
datasets/web-Google.edgelist,pagerank,sync,pull,topo,cpu,Jetson,,,,,274.0,,
